"","gene.symbol","cell.type","gene.weight","ensembl.id"
"322","CLEC7A","4T",0.0439818721297227,"ENSG00000172243"
"323","CNR2","4T",0.0324468884513644,"ENSG00000188822"
"324","CTBP2","4T",0.0679807525578148,"ENSG00000175029"
"325","CXCL8","4T",0.0709812462353278,"ENSG00000169429"
"326","CYP1B1","4T",0.0700415189444624,"ENSG00000138061"
"327","CYP1B1-AS1","4T",0.0628363806709266,"ENSG00000232973"
"328","DAPK1","4T",0.0706309122219687,"ENSG00000196730"
"329","DOCK5","4T",0.0557768772869386,"ENSG00000147459"
"330","DOK3","4T",0.0533836520893684,"ENSG00000146094"
"331","F3","4T",0.0667639065103903,"ENSG00000117525"
"332","FAM20A","4T",0.0502837213921556,"ENSG00000108950"
"334","FCAR","4T",0.0354505124844259,"ENSG00000186431"
"335","FCER1G","4T",0.0320834078422944,"ENSG00000158869"
"336","FCGR2A","4T",0.0630232256651354,"ENSG00000143226"
"337","FCN1","4T",0.0661963265902709,"ENSG00000085265"
"338","FGD4","4T",0.046992634906508,"ENSG00000139132"
"339","GLT1D1","4T",0.0462300726392277,"ENSG00000151948"
"340","GZMB","4T",0.0625491999403187,"ENSG00000100453"
"341","HCK","4T",0.0269942762840396,"ENSG00000101336"
"342","HLA-DPA1","4T",0.0649489757125541,"ENSG00000231389"
"343","HLX","4T",0.026961270745368,"ENSG00000136630"
"344","IL1B","4T",0.0156613040764722,"ENSG00000125538"
"345","ITGAX","4T",0.0157694701211017,"ENSG00000140678"
"346","JAG1","4T",0.0705242218685861,"ENSG00000101384"
"347","KHDRBS2","4T",0.0272504549927564,"ENSG00000112232"
"348","KLF4","4T",0.0534607280607289,"ENSG00000136826"
"349","KYNU","4T",0.0460382755662785,"ENSG00000115919"
"350","LGALS12","4T",0.0349474086525028,"ENSG00000133317"
"351","LILRA2","4T",0.0371522206079209,"ENSG00000239998"
"352","LINC00926","4T",0.0605121629887328,"ENSG00000247982"
"354","LPAR1","4T",0.0523149475623792,"ENSG00000198121"
"355","LYN","4T",0.0646475671925195,"ENSG00000254087"
"356","MACC1","4T",0.0663222121378364,"ENSG00000183742"
"357","MAFB","4T",0.0454785855701704,"ENSG00000204103"
"359","MARCKS","4T",0.0407393907177024,"ENSG00000277443"
"360","MS4A1","4T",0.0594501979354019,"ENSG00000156738"
"361","MS4A6A","4T",0.0629050684535888,"ENSG00000110077"
"362","MS4A7","4T",0.048159055871355,"ENSG00000166927"
"363","NCR1","4T",0.0701351918743774,"ENSG00000189430"
"364","NFAM1","4T",0.0604245909646018,"ENSG00000235568"
"365","OR52W1","4T",0.0548561568992444,"ENSG00000175485"
