"","gene.symbol","cell.type","gene.weight","ensembl.id"
"344","CST3","Mono",42.677948183411,"ENSG00000101439"
"345","CKAP2L","Mono",22.1751222763574,"ENSG00000169607"
"346","AC009950.1","Mono",22.0528255207597,NA
"347","MILR1","Mono",20.9464868481677,"ENSG00000271605"
"348","TNNI3","Mono",39.4575176588295,"ENSG00000129991"
"349","SLC25A6","Mono",25.5684035226305,"ENSG00000169100"
"350","ZNF615","Mono",23.2357064859397,"ENSG00000197619"
"351","AGPAT5","Mono",21.2876237149911,"ENSG00000155189"
"352","ISOC2","Mono",45.5851328294914,"ENSG00000063241"
"353","RCE1","Mono",27.4931023200605,"ENSG00000173653"
"354","POLE4","Mono",55.705255727392,"ENSG00000115350"
"355","CTD-2537I9.19","Mono",75.8079720116576,NA
"356","ANKRD52","Mono",26.1336470162178,"ENSG00000139645"
"357","TISP43","Mono",27.1126187174172,NA
"358","CCNL1","Mono",53.7891342486659,"ENSG00000163660"
"359","FAM83D","Mono",35.6959421812148,"ENSG00000101447"
"360","NEIL1","Mono",22.0812476127258,"ENSG00000140398"
"361","TIGD7","Mono",30.0039400729575,"ENSG00000140993"
"362","CTD-2587H24.4","Mono",33.6380166979402,NA
"363","S100A9","Mono",63.9113267195796,"ENSG00000163220"
"364","LILRA4","Mono",56.0860458882542,"ENSG00000239961"
"365","TDRD6","Mono",33.7824242019166,"ENSG00000180113"
"366","C6orf223","Mono",33.0556726285545,NA
"367","TMEM52B","Mono",30.6735985268284,"ENSG00000165685"
"368","KCTD17","Mono",26.3413393628759,"ENSG00000100379"
"369","APOBEC1","Mono",81.1835719127793,"ENSG00000111701"
"370","IL11","Mono",38.7469300546203,"ENSG00000095752"
"371","MED4","Mono",20.6430137893842,"ENSG00000136146"
"372","C3orf62","Mono",24.7735325442152,"ENSG00000188315"
"373","SIRPD","Mono",23.0576876192848,"ENSG00000125900"
"374","RP11-514P8.6","Mono",27.4973566671021,NA
"375","AP2M1","Mono",25.1452781795409,"ENSG00000161203"
"376","OR5K2","Mono",43.9464925491429,"ENSG00000231861"
"377","IFIT1","Mono",21.4223654857382,"ENSG00000185745"
"378","TMEM238","Mono",45.1315918540267,"ENSG00000233493"
"379","GPX3","Mono",24.6194887405432,"ENSG00000211445"
"380","TMEM198","Mono",26.745019604661,"ENSG00000188760"
"381","AICDA","Mono",20.7644490176619,"ENSG00000111732"
"382","CHPF","Mono",24.725723282185,"ENSG00000123989"
"383","GPX8","Mono",23.3533417568216,"ENSG00000164294"
"384","B3GNT9","Mono",22.3104078364057,"ENSG00000237172"
"385","CCR2","Mono",27.0946757743603,"ENSG00000121807"
"386","UBE2S","Mono",36.2133467729669,"ENSG00000108106"
"387","CD93","Mono",39.4802390824945,"ENSG00000125810"
"388","BSPRY","Mono",29.7784962669635,"ENSG00000119411"
"389","MYBPH","Mono",31.9889016235828,"ENSG00000133055"
"390","TREML4","Mono",30.15479916803,"ENSG00000188056"
"391","ITPRIPL2","Mono",21.4522410743403,"ENSG00000205730"
"392","TLR4","Mono",22.1478763462618,"ENSG00000136869"
"393","CST9","Mono",41.9660608217238,"ENSG00000173335"
"394","NKX2-5","Mono",31.003102164084,"ENSG00000183072"
"395","OR2G2","Mono",22.388644882556,"ENSG00000177489"
"396","AC021106.1","Mono",24.3290557537829,NA
"397","DHRS7C","Mono",27.6610557337109,"ENSG00000184544"
"398","KRTAP22-2","Mono",22.2953672941866,"ENSG00000206106"
"399","GABARAPL1","Mono",21.056871271882,"ENSG00000139112"
"400","SLC16A6","Mono",22.0423519485256,"ENSG00000108932"
"401","GRIK4","NK",6.46347711859387,"ENSG00000149403"
"402","KRT77","NK",18.1630112458179,"ENSG00000189182"
"403","TMEM150B","NK",29.5157549340223,"ENSG00000180061"
"404","BNC2","NK",6.47213209250129,"ENSG00000173068"
"405","TMEM59","NK",6.62171029591393,"ENSG00000116209"
"406","DDI1","NK",8.59824669598456,"ENSG00000170967"
"407","FITM1","NK",20.3358003389971,"ENSG00000139914"
"408","RP11-468E2.6","NK",16.5925365548222,NA
"409","FGFBP2","NK",4.74338924767169,"ENSG00000137441"
"410","HEATR5B","NK",5.48433842947592,"ENSG00000008869"
"411","ZMAT4","NK",6.41058935098313,"ENSG00000165061"
"412","C1orf226","NK",27.1306050247195,"ENSG00000239887"
"413","FBXO32","NK",15.1038018137863,"ENSG00000156804"
"414","HSPBP1","NK",8.52270337787434,"ENSG00000133265"
"415","RP11-565P22.6","NK",25.3077266283404,NA
"416","CABP5","NK",5.92638153740266,"ENSG00000105507"
"417","U2SURP","NK",5.80903006251736,"ENSG00000163714"
"418","NECAP2","NK",6.9944156576771,"ENSG00000157191"
"419","GLT1D1","NK",5.33504740535858,"ENSG00000151948"
"420","JOSD2","NK",11.6797197851572,"ENSG00000161677"
"421","BRSK1","NK",7.34170784432498,"ENSG00000160469"
"422","AIFM3","NK",9.35930197574686,"ENSG00000183773"
"423","SCO2","NK",7.21823256395445,"ENSG00000284194"
"424","HMX1","NK",11.5139150832434,"ENSG00000215612"
"425","MATR3.1","NK",7.21801111498788,NA
"426","KRT18","NK",10.619883587997,"ENSG00000111057"
"427","LCP2","NK",13.0929259302606,"ENSG00000043462"
"428","FAM65C","NK",5.26843242894428,NA
"429","RPUSD4","NK",5.54970914472235,"ENSG00000165526"
"430","YPEL2","NK",4.99963356516304,"ENSG00000175155"
"431","RDH13","NK",5.26301485712461,"ENSG00000160439"
"432","IZUMO2","NK",5.31264419445552,"ENSG00000161652"
"433","SCGB1C2","NK",25.4956434778444,"ENSG00000268320"
"434","KRT8","NK",4.77160428937903,"ENSG00000170421"
"435","NID2","NK",10.0460636802569,"ENSG00000087303"
"436","PMPCA","NK",7.42194099277932,"ENSG00000165688"
"437","NATD1","NK",4.75453482550938,"ENSG00000274180"
"438","SLTM","NK",5.83418531393867,"ENSG00000137776"
"439","RBM23","NK",5.343780382367,"ENSG00000100461"
"440","MCM6","NK",9.5989840218895,"ENSG00000076003"
"441","KRT1","NK",11.2127043781127,"ENSG00000167768"
"442","EVPLL","NK",6.98551018302258,"ENSG00000214860"
"443","KPTN","NK",5.40242715539248,"ENSG00000118162"
"444","TMEM251","NK",9.29563096727266,NA
"445","HELB","NK",6.05082814509532,"ENSG00000127311"
"446","THBS2","NK",9.74959888068896,"ENSG00000186340"
"447","PPP6R1","NK",5.74111749729186,"ENSG00000105063"
"448","NDUFB7","NK",6.71402637001853,"ENSG00000099795"
"449","MOAP1","NK",8.02925403274498,"ENSG00000165943"
"450","PAQR9","NK",9.03588301921197,"ENSG00000188582"
"451","OR3A3","NK",15.7227354968162,"ENSG00000159961"
"452","C1QTNF3","NK",5.52894670441164,"ENSG00000082196"
"453","SFTA2","NK",4.84700081690522,"ENSG00000196260"
"454","CRYBA2","NK",6.28961191904004,"ENSG00000163499"
"455","ADCY3","NK",5.54500066259858,"ENSG00000138031"
